miss,terribly,everyday, =(,dearly,:-(,buddy,bestfriend,universe,badly,talks,seniors,ole,philippines,teen,sweetheart,highschool,:[, =[,youuu
woo,hoo,whoo,boo,hooo,wooo,prayer,january,allowed,concern,wo,offended,christian,held,national,whooo,built,offend,obama,christians
practice,track,swim,cheer,volleyball,softball,basketball,coach,practicing,wrestling,choir,private,tommorow,cancelled,pumped,tennis,guard,tryouts,target,tmrw
started,ended,hasn't,haven't,stopped,hasnt,happened,turned,began,ending,crappy,barely,raining,randomly,picked,rained,rear,realised,rough,continued
working,hard,isn't,isnt,workin,properly,stopped,chat,ou,aren't,annoyed,msn,projects,arent,stops,correctly,frustrating,printer,overtime,elses
people,forget,short,drama,create,focus,walk,laugh,surround,part,pointless,agree,living,treat,pray,falling,re-post,,,
good,mood,bad,pretty,surprisingly,vibes,ridiculously,amazingly,oddly,depending,,,,,,,,,,
phone,call,text,cell,number,txt,phones,texting,message,service,ahold,internet,contact,reach,unlimited,email,msg,grounded,asap,reception
park,linkin,picnic,par,water,parks,theme,central,trailer,national,skate,playground,zoo,fireworks,bench,rides,lincoln,swings,swing,kiddos
yay,tomorrow,finally,friday,:d,excited,nay,sarcasm,^_^,finaly,^.^,,,,,,,,,
it's,snowing,cold,degrees,supposed,freezing,sticking,windy,colder,snowed,frickin,,,,,,,,,
movie,watching,avatar,watch,transformers,watched,movies,watchin,airbender,film,dvd,series,marathon,revenge,fallen,amazin,inception,fav,titanic,legend
imma,im,ima,cuz,gon,yea,bout,idk,aint,swear,lovin,outta,beast,lookin,shawty,thinkin,spark,somethin,tryna,hella
awesome,freaking,pretty,awesomeness,terry,freakin,pure,amazingly,epic,flippin,dude,ridiculously,insanely,awesomely,transformers,zombieland,fricken,uber,,
people,kill,means,remember,guns,person,calling,words,chose,drunk,offer,drive,hold,cars,fat,gun,tragedy,light,laws,actions
mi,dem,ah,fi,di,jus,nah,dis,wid,dat,ting,meh,wah,kno,wi,yah,gal,wen,dey,boi
final,fantasy,destination,grand,countdown,boss,semi,ps,temporary,factory,score,belong,stretch,rooms,passing,chapter,twisted,windows,iv,core
lake,boat,river,salt,water,fishing,city,swimming,headed,michigan,blast,fireworks,camping,skiing,tube,float,floating,crystal,jet,swim
head,smack,upside,hit,bat,baseball,deserves,someones,slap,someone's,outta,cave,smashed,messing,toe,puppy,shovel,grab,flipped,plate
nigga,aint,ya,wit,niggas,yo,gucci,bitch,shawty,tha,yall,gon,tryna,em,ain't,ima,hood,homie,imma,gangsta
bomb,da,drop,bombs,threat,blow,dropped,explode,blast,dropping,cherry,scare,ultimate,code,explosion,exploded,inception,nuclear,hella,stink
york,city,ny,nyc,streets,carl,putting,jungle,lights,boston,brand,complete,concrete,chicago,inspire,ground,square,ft,fallen,heroes
dream,woke,weird,dreamed,teenage,weirdest,dreamt,disappointed,catch,nightmare,dreams,throw,discover,safe,explore,trade,strange,twenty,night's,winds
tickets,ticket,buy,bought,concert,sold,sale,interested,extra,selling,booked,plane,sell,buying,seats,purchased,spare,asap,vip,bucks
sweet,bitter,taste,revenge,sweeter,honey,sixteen,sour,sweetest,smell,soft,bittersweet,innocent,served,tastes,dish,victory,nothings,tooth,buds
hat,cowboy,alan,tip,hats,boots,wear,wearing,trick,dude,grab,tips,stole,record,misery,gloves,rabbit,devil,borrow,sorting
:-),:-d,;-),:-(,:-p,xx,:-/,xxx,hehehe,xxxx,toooo,esp,wooohooo,xxxxxx,,,,,,
hai,ki,se,ko,ka,ho,ke,nahi,bhi,mein,dil,main,hain,kya,jo,hum,aur,koi,ye,tu
wait,can't,till,tomorrow,meet,tomarrow,,,,,,,,,,,,,,
mmm,mm,mmmm,sushi,mmmmm,craving,lunch,goo,mmmmmm,subway,sounds,starbucks,mmmmmmm,hmmm,smell,smells,bbq,cm,delicious,tasty
back,time,move,manage,decided,rub,dump,pull,depressed,psyched,bruises,spark,position,hump,mic,,,,,
de,en,van,op,met,te,dat,je,er,dan,om,nu,wel,ben,kan,wil,net,tot,mn,hoe
make,mistakes,learn,made,mistake,admit,perfect,human,experience,choices,learned,greatest,learning,correct,cheer,protect,regret,repeat,lessons,eternity
hard,work,worked,working,core,harder,pays,paid,day's,dedication,laziness,success,workin,motivated,har,reward,worker,earned,concentrate,determination
texas,houston,austin,dallas,tx,headed,heading,arizona,phoenix,bound,az,area,mexico,oklahoma,downtown,walker,cali,tech,east,ranch
love,find,weird,call,fall,join,life's,mutual,satisfying,wierd,,,,,,,,,,
dead,zombies,zombie,ding,walking,brains,dong,killing,kill,plants,nazi,humans,ring,killed,shoot,killin,witch,spoon,happening,tasty
