89,gonna,28463,im,12025,miss,2636,hang,2015,chill,1715,prolly,1497,tonite,1462,prob,668,tommorow,574,awhile,421,def,326,tmrw,239,tomarrow,171,tomorow,137,itll,92,babysit,69,,,,,,,,
90,live,22964,die,11711,life,6603,forever,6344,you'll,3046,dream,2310,lived,1634,notice,1030,born,1007,learn,823,fullest,706,fight,700,dreams,666,potential,515,smiling,428,create,427,small,426,faces,408,beauty,403,smell,362
91,anger,7782,leads,1995,fear,1769,hatred,1702,rage,1661,frustration,1485,control,1396,angry,1201,sadness,1013,emotions,1003,filled,946,management,939,jealousy,816,emotion,756,depression,699,issues,695,guilt,668,vent,637,letting,624,feelings,574
92,lol,16381,im,16304,lo,4651,omg,3669,wow,2429,yea,1600,dork,1121,hyper,749,lmao,745,couldnt,285,addicted,256,nerd,199,hype,188,offically,174,kidding,173,ti,122,exited,79,,,,,,
93,mountain,5292,mt,4434,dew,3247,skiing,2511,snowboarding,2410,ski,2138,mount,1526,peak,997,biking,830,hiking,544,boarding,488,colorado,488,mountains,453,jacked,403,hike,388,powder,347,pleasant,341,hill,307,resort,291,sneak,281
94,colorado,2768,heading,1728,headed,1642,leaving,1519,denver,1518,kansas,1421,city,1341,springs,1194,oklahoma,1180,trip,1143,moving,859,iowa,845,kc,778,utah,583,bound,469,lincoln,464,visit,416,texas,405,california,231,lawrence,227
95,facebook,7978,views,4016,profile,3287,:/,2729,check,2360,goo,2011,fb,1825,stalking,1556,top,1528,stalker,1155,total,695,visited,695,apps,608,stalk,583,tool,513,shows,429,app,412,viewing,402,woah,366,view,355
96,sigh,22568,relief,3188,le,2450,tempted,715,compared,666,comic,621,huge,585,sighs,446,ahhh,372,depressing,366,suppose,351,atleast,207, =(,202,alas,190,phew,157,t_t,143,nevermind,127,dramatic,115, =/,106,jeez,64
97,thing,24571,good,20308,bad,10978,isn't,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,save,17114,big,3124,saved,2260,cold,2037,small,1862,perfect,1854,les,1629,hero,1305,fake,1071,mis,1045,breast,966,cancer,770,grandma's,657,awareness,642,rescue,600,repost,594,drowning,452,saves,406,grandmas,400,boredom,379
99,friend,10792,TRUE,6654,doesn't,2409,perfect,2247,care,2239,funny,2064,believes,1554,makes,1518,car,1440,lucky,1244,making,1199,understands,1097,loved,940,bank,937,question,922,noises,861,aren't,827,friendship,765,speaking,666,repost,649
100,dragon,8122,age,5407,train,4243,castle,3089,ball,1625,moving,1077,tattoo,826,magic,445,quest,297,puff,218,kai,181,wreck,179,hidden,172,evolution,140,demo,122,startin,107,nest,93,monsters,90,warrior,61,elf,47
101,finger,5895,nail,4817,toe,4131,cut,4007,nails,2507,polish,2343,hand,2112,thumb,2091,broke,2041,hurts,1963,ouch,1355,bleeding,1090,burnt,928,toes,838,foot,835,tip,761,inch,746,burned,698,fingers,688,stitches,682
102,de,26417,la,16451,el,13983,en,12789,es,7401,los,6852,se,6380,para,5453,por,5425,las,4603,con,4427,una,4335,del,3855,mi,3189,si,2962,al,2621,como,2414,su,2371,pero,2038,ser,1896
103,neck,6823,hurts,5460,pain,4164,head,3195,body,2584,shoulder,2384,sore,2173,hurt,2108,move,1798,muscle,1553,arm,1418,killing,1352,chest,1303,hurting,1281,massage,1166,pains,982,stiff,940,pulled,777,muscles,701,lower,695
104,world,25543,cup,15043,spain,2762,win,2179,england,1942,fifa,1901,germany,1177,won,1091,usa,985,final,922,brazil,731,soccer,647,match,607,champions,567,cu,567,finals,533,holland,523,india,495,france,486,netherlands,457
105,nice,14874,it's,13991,bells,1918,friendly,1914,folks,800,it'll,752,reminder,650,awhile,607,ring,300,ringing,208,carol,161,neighborhood,156,laid,106,bold,62,fires,49,,,,,,,,,,
106,::,23517,sigh,2596,sn,558,alicia,384,hacked,316,):,286,thompson,203,pinky,182,sara,147,sighs,99,brooke,98,(=,91,raven,65,do:,50,,,,,,,,,,,,
107,july,12576,happy,12429,fireworks,8562,fourth,4591,safe,1564,display,780,bbq,671,holiday,608,independence,554,celebrate,545,america,502,firework,426,parade,420,celebration,397,blow,396,bonfire,262,celebrating,223,setting,210,lighting,201,cookout,166
108,feels,9175,hunter,3989,ahhh,1644,gran,1371,demon,392,thompson,349,knocked,288,mat,172,refreshing,161,unreal,33,,,,,,,,,,,,,,,,,,,,
109,xa,185683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,class,18758,yoga,5500,zumba,2739,gym,2549,dance,1416,classes,1302,workout,991,teaching,885,instructor,694,studio,677,mat,626,reunion,503,session,439,spin,348,fitness,342,skipping,322,workshop,200,exercise,166,practicing,143,latin,141
